State,Total_Cases,Days_100,Deaths,DeathsDays_1,
Schleswig-Holstein,159,4,0,0,
Schleswig-Holstein,202,5,0,0,
Schleswig-Holstein,266,6,1,1,
Schleswig-Holstein,308,7,1,2,
Schleswig-Holstein,347,8,1,3,
Schleswig-Holstein,383,9,1,4,
Schleswig-Holstein,478,10,2,5,
Schleswig-Holstein,577,11,3,6,
Schleswig-Holstein,675,12,3,7,
Schleswig-Holstein,812,13,4,8,
Schleswig-Holstein,915,14,4,9,
Schleswig-Holstein,1005,15,6,10,
Schleswig-Holstein,1049,16,7,11,
Schleswig-Holstein,1120,17,9,12,
Schleswig-Holstein,1246,18,10,13,
Schleswig-Holstein,1335,19,11,14,89
