dateRep,Month,cases,cases_avg7,deaths,deaths_avg7,countriesAndTerritories,countryterritoryCode,popData2018,cum_cases,cum_deaths,Days_10cases,Days_5deaths,cases_doubling,deaths_doubling
2020-04-08,April,4003,5123.1,254,161.3,Germany,DEU,82927922,103228,1861,65,27,12,12
2020-04-09,April,4974,4954.3,246,176.4,Germany,DEU,82927922,108202,2107,66,28,12,12
2020-04-10,April,5323,4832.7,266,193.7,Germany,DEU,82927922,113525,2373,67,29,12,12
2020-04-11,April,4133,4554.3,171,198.0,Germany,DEU,82927922,117658,2544,68,30,12,12
2020-04-12,April,2821,4109.3,129,190.1,Germany,DEU,82927922,120479,2673,69,31,12,12
2020-04-13,April,2537,3946.4,126,195.0,Germany,DEU,82927922,123016,2799,70,32,12,12
2020-04-14,April,2082,3696.1,170,194.6,Germany,DEU,82927922,125098,2969,71,33,12,12
2020-04-15,April,2486,3479.4,285,199.0,Germany,DEU,82927922,127584,3254,72,34,12,12
2020-04-16,April,2866,3178.3,315,208.9,Germany,DEU,82927922,130450,3569,73,35,12,12
2020-04-17,April,3380,2900.7,299,213.6,Germany,DEU,82927922,133830,3868,74,36,12,12
2020-04-18,April,3609,2825.9,242,223.7,Germany,DEU,82927922,137439,4110,75,37,12,12
2020-04-19,April,2458,2774.0,184,231.6,Germany,DEU,82927922,139897,4294,76,38,12,12
2020-04-20,April,1775,2665.1,110,229.3,Germany,DEU,82927922,141672,4404,77,39,12,12
